Post ID,Page ID,Page name,Title,Description,Duration sec,Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Other Clicks,Matched Audience Targeting Consumption Photo Click,Link Clicks,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Negative feedback from users: Hide all
1142215817265420.00,100044310645639.00,SUGARCANE,"(っ◔◡◔)っ 𝐇𝐮𝐠𝐨𝐭 𝐇𝐚𝐧𝐠𝐨𝐮𝐭 𝐇𝐢𝐠𝐡𝐥𝐢𝐠𝐡𝐭𝐬

Still can’t get over how amazing the ""Hugot Hangouts"" turned out! 🫶 Hindi namin makakalimutan lahat ng napagkwentuhan at masasayang alaala natin from this event. Hanggang sa susunod na hangout ulit, folks! 🥹💖

📷: ARK Productions",,0,12/5/2024 3:00,N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid023R6r24Ux6i9QYZDrzoeyLKb6T47BeNXprQEphQ3Ss1vPZ11b5CnjBngHXgfriTYxl,0,0,Photos,,,,,Lifetime,22296,10641,365,296,7,62,896,319,577,,,,,
1141992383954430.00,100044310645639.00,SUGARCANE,"Maraming salamat sa walang sawang suporta at pagmamahal, SugarFolks! Sobrang na-appreciate namin kayong lahat. Here’s to creating more music and memories together next year! 🪢✨ #SpotifyWrapped2024",,0,12/4/2024 20:00,N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid028mNGZqgfbetaF8UtQsv2iKkERLPMros7dQ2FmCjVvpb7AY45v1ggJbrocGw3LoNGl,0,0,Photos,,,,,Lifetime,20417,11353,924,843,37,44,1022,465,557,,,,,
1141940813959590.00,100044310645639.00,SUGARCANE,"See you later, knollers! 💙💛

Miriam College Nuvali

📅: December 5
📍: Miriam College Nuvali, Laguna
🎟️: Event is open for outsiders 

We can't wait to see you all! ✨",,0,12/4/2024 18:00,N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid05Qs9G7QDbw6AG2M7JKfCRX2mFiuXHL7gCseThYE2jiFrgWvxwm8PfHTrKULbRUKnl,0,0,Photos,,,,,Lifetime,7840,4235,176,166,5,5,228,134,94,,,,,
1141521677334840.00,100044310645639.00,SUGARCANE,"🎙️ First Episode of ""Ano Ang Lagi Na Lang Niyo?"" 

Watch the full video here: https://youtu.be/QGkJr301sA0

In this mini podcast series, SUGARCANE will be joined by some of their amazing fans who share their stories, insights, and laughs as we dive into the theme: “Ano ang lagi nalang sa buhay niyo?” 

In today's first episode, we’re kicking things off with something close to everyone’s heart — friendship. 🫂

Stream ""Lagi Na Lang"": sugarcane.lnk.to/laginalang","🎙️ First Episode of ""Ano Ang Lagi Na Lang Niyo?"" 

Watch the full video here: https://youtu.be/QGkJr301sA0

In this mini podcast series, SUGARCANE will be joined by some of their amazing fans who share their stories, insights, and laughs as we dive into the theme: “Ano ang lagi nalang sa buhay niyo?” 

In today's first episode, we’re kicking things off with something close to everyone’s heart — friendship. 🫂

Stream ""Lagi Na Lang"": sugarcane.lnk.to/laginalang",60,12/4/2024 3:01,auto,https://www.facebook.com/reel/2052436061896442/,1,0,Reels,,,,,Lifetime,5794,4704,202,186,8,8,0,,,,47106.728,9.205,0,
1141064977380510.00,100044310645639.00,SUGARCANE,malapit ko na maubos amoy mo,"malapit ko na maubos amoy mo

sugarcane.lnk.to/laginalang",19,12/3/2024 9:49,N/A,https://www.facebook.com/thesugarcaneph/videos/1286238425729596/,0,0,Videos,,,,,Lifetime,17376,13698,1262,1089,69,104,1324,1319,,5,91241.531,5.964,0.16,
1140722684081400.00,100044310645639.00,SUGARCANE,"Maraming salamat sa lahat ng pumunta sa ating 𝑯𝒖𝒈𝒐𝒕 𝑯𝒂𝒏𝒈𝒐𝒖𝒕𝒔! 💌🥹

Join our SugarFolks community page for more exclusive announcements: SugarFolks

Special thanks to:
SugarFolks
Warner Music Philippines
ARK Productions
UNWND Boutique Hotel Makati",,0,12/3/2024 0:10,N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid02qPFLRnpvPNF8TEBrtMHKPcjGa7Y6wTaUak4gupS1Pei5hVqWjArZa8sXEVeuh8SLl,0,1,Photos,,,,,Lifetime,6112,4112,114,107,4,3,131,84,47,,,,,
1136721984481470.00,100044310645639.00,SUGARCANE,"Finally sharing moments from the Isetann_Official Mall Show! Huge thanks to everyone who showed up and made it such a special time! ❤️‍🔥

📹: Noel, Alyxter, and Jeus of ACNM Media","Finally sharing moments from the @[100069429872109:2048:Isetann_Official] Mall Show! Huge thanks to everyone who showed up and made it such a special time! ❤️‍🔥

📹: Noel, Alyxter, and Jeus of @[100080065946395:2048:ACNM Media]",53,11/27/2024 2:51,mixed,https://www.facebook.com/thesugarcaneph/videos/955496923278537/,0,0,Videos,,,,,Lifetime,3285,2261,211,188,9,14,86,86,,,22621.651,7.704,0.04,
1136062131214130.00,100044310645639.00,SUGARCANE,"Hi folks! May super special na event kami this Saturday, November 30, sa Makati, and there are only a few slots left! Gusto niyo bang sumama? Madali lang, just post 3 photos with us and tag us in your stories - first 10 to do it gets in! 💌 

‼️10 SLOTS LEFT",,0,11/26/2024 3:14,N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid0DDegNNXpd5fovXbzpcQSkMvFptfHUsYokZUjDGGKkutjDMeyqSzMXmEBPBknCEVpl,0,0,Photos,,,,,Lifetime,8888,5256,287,256,16,15,429,362,67,,,,,
1134039021416440.00,100044310645639.00,SUGARCANE,"FOLLOW THE RED STRING P2!! 📢 

Free ba kayo tonight? Tara sa Jess and Pats for Kenaniah and Janine Teñoso intimate gig! 🥰

Also!! Look out for envelopes scattered around Jess & Pat's! Hints for the locations can be seen at the photos below 💌🔍

These envelopes will serve as your invitation for a 𝐯𝐞𝐫𝐲 𝐬𝐩𝐞𝐜𝐢𝐚𝐥 𝐞𝐯𝐞𝐧𝐭.

⚠️: Kapag isa kayo sa mga mapalad na makakuha ng envelopes, tag us on all of our social media platforms, @thesugarcaneph — scan the QR code to register and know more about the details!

Warner Music Philippines",,0,11/23/2024 2:39,N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid0BdNHu7nG9h29VGS3N9WaWosCqGCZGZ3uMeU2p4kno3wPx6PxCsCtvRj5VKvFZgWsl,0,0,Photos,,,,,Lifetime,4470,2855,59,58,0,1,142,33,109,,,,,
1134017354751940.00,100044310645639.00,SUGARCANE,"Tara mamaya for Kenaniah and Janine Teñoso's intimate gig! 🥰

Since Jess & Pat's is very close to our hearts for being not just our go-to gig place but also a place were we get to hang out with you, folks, we will be scattering envelopes around the vicinity for you to find. 💌🔍

These envelopes will serve as your invitation for a 𝐯𝐞𝐫𝐲 𝐬𝐩𝐞𝐜𝐢𝐚𝐥 𝐞𝐯𝐞𝐧𝐭.

⚠️: Stay tuned on our socials — we will be posting clues later, paunahan na lang makahanap ng envelopes! 

PS. Kapag isa kayo sa mga mapalad na makakuha ng envelope mamaya, scan the QR code to register and know more about the details!

Warner Music Philippines",,0,11/23/2024 1:55,N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid0UR5sYsMjf21of8xUfN2yVfp9GEcU2WTD4inxV6SeBVSEq9tfUhtSSL1o1EWUb6Val,0,0,Photos,,,,,Lifetime,8921,5229,180,172,0,8,210,105,104,1,,,,
1133348374818840.00,100044310645639.00,SUGARCANE,"THOMASIANS!! 🐯📢 

Look out for envelopes scattered around the UST Campus! Hints for the locations can be seen at the photos below 💌🔍: 

These envelopes will serve as your invitation for a 𝐯𝐞𝐫𝐲 𝐬𝐩𝐞𝐜𝐢𝐚𝐥 𝐞𝐯𝐞𝐧𝐭.

⚠️: Kapag isa kayo sa mga mapalad na makakuha ng envelopes, tag us on all of our social media platforms, @thesugarcaneph — scan the QR code to register and know more about the details!

Warner Music Philippines
UST CFAD Student Council",,0,11/22/2024 2:38,N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid0Ax3z6A5PwVUE3GU86JkV6dtPeg5ssKLRA9Z73oQpeRSPtpCtXBdX9aRtJpCbJWdyl,0,0,Photos,,,,,Lifetime,14889,9209,214,193,16,5,1767,773,993,1,,,,
1132612441559100.00,100044310645639.00,SUGARCANE,"Who's ready for #WePlayHereSchoolTour in UST? 🐯

Thomasians, be sure to not miss this out, kasi sa mismong araw ng We Play Here sa UST-CFAD, we will be scattering envelopes around the campus for you to find. 💌🔍

These envelopes will serve as your invitation for a 𝐯𝐞𝐫𝐲 𝐬𝐩𝐞𝐜𝐢𝐚𝐥 𝐞𝐯𝐞𝐧𝐭.

⚠️: Stay tuned on our socials — we will be posting clues tomorrow, basta paunahan na lang makahanap ng envelopes bukas sa UST, g?!

PS. Kapag isa kayo sa mga mapalad na makakuha ng envelope sa Friday, scan the QR code to register and know more about the details!

Warner Music Philippines
UST CFAD Student Council",,0,11/21/2024 1:01,N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid023mXLbxcohmMqtgd2FQUvNxGzBQQ8RvYnTGWGG9Rncticr1Ht2s8o9ZEsDKxwJQ1al,0,0,Photos,,,,,Lifetime,17710,8195,445,377,37,31,1190,841,349,,,,,
1132505444903130.00,100044310645639.00,SUGARCANE,"#WePlayHereSchoolTour in UST? 👀

See you tomorrow, Thomasians!

And aside from that, we’ve prepared something exciting just for you. Stay tuned for our post on our socials — you won’t want to miss it! 💌🔍

📅: November 22
🎟️: Event is open to UST students only

UST CFAD Student Council
Warner Music Philippines
We Play Here",,0,11/20/2024 22:03,N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid04pFBUdWZUKHSZ8S3YShW22cri6vxmMW3gxdUmE2zGxETAvi7xgeh5s3S6hP5yFVol,0,1,Videos,,,,,Lifetime,,1995,85,83,2,0,158,158,,,,,,
1131831908303820.00,100044310645639.00,SUGARCANE,"Naiyak siguro sya kaya ganyan lang reply nya 

Stream Lagi Na Lang
sugarcane.lnk.to/laginalang","Naiyak siguro sya kaya ganyan lang reply nya 

Stream Lagi Na Lang
sugarcane.lnk.to/laginalang",18,11/19/2024 22:36,N/A,https://www.facebook.com/reel/3333068213495967/,1,0,Reels,,,,,Lifetime,3223299,2342103,171444,133933,9607,27904,0,,,,26352871.06,10.389,0,
1131177018369300.00,100044310645639.00,SUGARCANE,"Pano naman yung pangarap ko? 

Stream Lagi Na Lang here: sugarcane.lnk.to/laginalang","Pano naman yung pangarap ko? 

Stream Lagi Na Lang here: sugarcane.lnk.to/laginalang",18,11/18/2024 23:15,N/A,https://www.facebook.com/reel/466936732629709/,1,0,Reels,,,,,Lifetime,16080,15131,205,177,11,17,0,,,,91567.537,6.261,0,
1130570628429940.00,100044310645639.00,SUGARCANE,"Uy may bagong kanta Sugarcane stream nyo na 🤩
sugarcane.lnk.to/laginalang","Uy may bagong kanta Sugarcane stream nyo na 🤩
sugarcane.lnk.to/laginalang",18,11/18/2024 2:08,mixed,https://www.facebook.com/reel/1210833206690798/,1,0,Reels,,,,,Lifetime,4898,4243,159,146,4,9,0,,,,26498.527,6.477,0,
1130503968436610.00,100044310645639.00,SUGARCANE,"Edi enjoy 🥲

Stream Lagi Na Lang here: sugarcane.lnk.to/laginalang","Edi enjoy 🥲

Stream Lagi Na Lang here: sugarcane.lnk.to/laginalang",20,11/17/2024 23:38,N/A,https://www.facebook.com/reel/1270339707553091/,1,0,Reels,,,,,Lifetime,20033,17466,428,366,20,42,0,,,,143686.237,7.962,0,
1129861435167530.00,100044310645639.00,SUGARCANE,"Ako 'di niyo kakamustahin? 

Stream ""Lagi Na Lang"" here: sugarcane.lnk.to/laginalang","Ako 'di niyo kakamustahin? 

Stream ""Lagi Na Lang"" here: sugarcane.lnk.to/laginalang",18,11/17/2024 0:09,N/A,https://www.facebook.com/reel/540533498826890/,1,0,Reels,,,,,Lifetime,74228,71602,2411,1844,168,399,0,,,,391152.001,5.77,0,
1128503275303350.00,100044310645639.00,SUGARCANE,"Bakit ganon 😭

Stream ""Lagi Na Lang"" here: sugarcane.lnk.to/laginalang","Bakit ganon 😭

Stream ""Lagi Na Lang"" here: sugarcane.lnk.to/laginalang",19,11/14/2024 23:52,N/A,https://www.facebook.com/reel/586866907057832/,1,0,Reels,,,,,Lifetime,49988,46914,2435,1967,141,327,0,,,,196153.972,4.233,0,
1128383241982020.00,100044310645639.00,SUGARCANE,"Manila peeps!! Free gig tomorrow, g? 📢

🗓️: November 16, 1PM 
📍: Isetann_Official Mall Recto 
‼️ Get the chance to also win a 𝐁𝐞𝐚𝐭𝐬 𝐒𝐭𝐮𝐝𝐢𝐨 𝐏𝐫𝐨 𝐖𝐢𝐫𝐞𝐥𝐞𝐬𝐬 𝐇𝐞𝐚𝐝𝐩𝐡𝐨𝐧𝐞𝐬 and 𝐒𝐮𝐠𝐚𝐫𝐜𝐚𝐧𝐞 𝐨𝐟𝐟𝐢𝐜𝐢𝐚𝐥 𝐩𝐨𝐬𝐭𝐞𝐫 𝐚𝐧𝐝 𝐬𝐭𝐢𝐜𝐤𝐞𝐫𝐬! 🎧

PS. You can 𝐆𝐞𝐭 𝐏𝟒𝟎 𝐜𝐚𝐬𝐡𝐛𝐚𝐜𝐤 on every P1,000 single-receipt purchase at Isetann Dept Store and Isetann Supermarket from November 15-17, 2024. Find the perfect gifts for your loved ones with 𝐮𝐩 𝐭𝐨 𝟓𝟎% 𝐨𝐟𝐟 on selected department store items and a chance to be one of the 𝟑 𝐥𝐮𝐜𝐤𝐲 𝐰𝐢𝐧𝐧𝐞𝐫𝐬 𝐨𝐟 𝐁𝐞𝐚𝐭𝐬 𝐒𝐭𝐮𝐝𝐢𝐨 𝐏𝐫𝐨 𝐖𝐢𝐫𝐞𝐥𝐞𝐬𝐬 𝐇𝐞𝐚𝐝𝐩𝐡𝐨𝐧𝐞𝐬! 🎧",,0,11/14/2024 19:23,N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid0KXwYJ7uvNmrPR94LzgVESBJw6XRYSHFnhoVMtq9XpkHiXHwgM2PAfiq4Sy3sY4uvl,0,0,Photos,,,,,Lifetime,12823,6638,343,308,14,21,479,238,241,,,,,
1127982658688740.00,100044310645639.00,SUGARCANE,"LAST CALL!! 📢📣

Sa mga walang gagawin sa sat, tara sa Isetann, 1pm! Haranahin namin kayo ❤️",,0,11/14/2024 5:05,N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid0KDNjDfcEYyWpasZdod3cRmj3CycHS5ey26e4BhkoTMRCT8V2Tp7dvefnACNGLj4Vl,0,1,Videos,,,,,Lifetime,,1897,96,87,9,0,96,96,,,,,,
1127786342041710.00,100044310645639.00,SUGARCANE,"Sana madapa ka :(

Stream ""Lagi Na Lang"" here: sugarcane.lnk.to/laginalang","Sana madapa ka :(

Stream ""Lagi Na Lang"" here: sugarcane.lnk.to/laginalang",16,11/13/2024 22:03,N/A,https://www.facebook.com/reel/890630676532054/,1,0,Reels,,,,,Lifetime,20852,18609,466,418,8,40,0,,,,136774.295,7.578,0,
1127324422087900.00,100044310645639.00,SUGARCANE,"#WePlayHereSchoolTour in Ateneo was a blast ❤️‍🔥

Thank you SugarFolks for showing up and making it a day to remember! 🪢

Stream “Lagi Na Lang” here:  
https://sugarcane.lnk.to/laginalang

Warner Music Philippines
We Play Here",,0,11/13/2024 4:43,N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid0bcbVSuMEesMovtEoag2K2ii1TzBaxz4J8GcUW4QmDk2SHoywnpijeUsRW4fDwyXzl,0,0,Photos,,,,,Lifetime,7765,4053,229,204,9,16,288,119,168,1,,,,
1127275185426150.00,100044310645639.00,SUGARCANE,"See you sa November 16, 1PM, sa Isetann_Official!! 🪢",,0,11/13/2024 3:17,N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid02CtRn6FADxdxznXE2fuuUFZ1JCmQQYDi8E4arrdFC7TJA8arcA75XwT8vtqWr3rtel,0,1,Photos,,,,,Lifetime,4020,2645,79,71,4,4,145,85,60,,,,,
1127092748777730.00,100044310645639.00,SUGARCANE,"""Lagi Na Lang"" OUT NOW!!

Stream here: sugarcane.lnk.to/laginalang","""Lagi Na Lang"" OUT NOW!!

Stream here: sugarcane.lnk.to/laginalang",26,11/12/2024 20:38,N/A,https://www.facebook.com/reel/607079935086115/,1,0,Reels,,,,,Lifetime,7374,6899,261,245,5,11,0,,,,59913.275,8.914,0,
1126593288827680.00,100044310645639.00,SUGARCANE,"Diyan ka magaling eh, umiwas 🫵😂 

Stream Lagi Na Lang!
sugarcane.lnk.to/laginalang","Diyan ka magaling eh, umiwas 🫵😂 

Stream Lagi Na Lang!
sugarcane.lnk.to/laginalang",18,11/12/2024 3:12,N/A,https://www.facebook.com/reel/1359957942078468/,1,0,Reels,,,,,Lifetime,63771,62516,1116,878,73,165,0,,,,360732.374,6.152,0,
1126419138845090.00,100044310645639.00,SUGARCANE,"Ikaw pa rin ang peyborit kong gawa ni tita 🥰

Stream ""Lagi Na Lang"" here: sugarcane.lnk.to/laginalang","Ikaw pa rin ang peyborit kong gawa ni tita 🥰

Stream ""Lagi Na Lang"" here: sugarcane.lnk.to/laginalang",18,11/11/2024 21:00,N/A,https://www.facebook.com/reel/1112258523838423/,1,0,Reels,,,,,Lifetime,7301,6927,116,109,2,5,0,,,,41025.905,6.224,0,
1125891592231180.00,100044310645639.00,SUGARCANE,"☑️ We Play Here Ateneo Stop 

Maraming salamat sa lahat ng pumunta at nakisaya! Sobrang sarap sa feeling tugtugin sa inyo mga bagong kanta na nilalabas namin ❤️‍🔥 

Stream “Lagi Na Lang” here: https://sugarcane.lnk.to/laginalang

Warner Music Philippines","☑️ @[100092286526361:2048:We Play Here] Ateneo Stop 

Maraming salamat sa lahat ng pumunta at nakisaya! Sobrang sarap sa feeling tugtugin sa inyo mga bagong kanta na nilalabas namin ❤️‍🔥 

Stream “Lagi Na Lang” here: https://sugarcane.lnk.to/laginalang

@[100064878091978:2048:Warner Music Philippines]",28,11/11/2024 3:33,N/A,https://www.facebook.com/reel/2036297623466692/,0,0,Reels,,,,,Lifetime,3260,2144,265,233,7,25,0,,,,17298.14,5.954,0,
1125842778902730.00,100044310645639.00,SUGARCANE,"Pang-30th playlist ko na to para sa kanya, ano ba kami 🥴?   Stream Lagi Na Lang! https://sugarcane.lnk.to/laginalang","Pang-30th playlist ko na to para sa kanya, ano ba kami 🥴? 

Stream Lagi Na Lang! https://sugarcane.lnk.to/laginalang",17,11/11/2024 2:00,N/A,https://www.facebook.com/thesugarcaneph/videos/1347190853105014/,0,0,Videos,,,,,Lifetime,2639,2255,162,141,4,17,76,74,,2,13276.759,5.937,0.02,
1125737705579900.00,100044310645639.00,SUGARCANE,"Kita kits tayo sa Isetann_Official sa November 16, 1PM! 

Let’s also enjoy their 3 Day Sale from Nov 15, 16, and 17 at may pa-P40 cashback pa kapag namili kayo worth P1000 sa lahat ng Isetann Department Store and Supermarket. 

🗓 November 16, 2024
📍Isetann Recto","Kita kits tayo sa @[100069429872109:2048:Isetann_Official] sa November 16, 1PM! 

Let’s also enjoy their 3 Day Sale from Nov 15, 16, and 17 at may pa-P40 cashback pa kapag namili kayo worth P1000 sa lahat ng Isetann Department Store and Supermarket. 

🗓 November 16, 2024
📍Isetann Recto",32,11/10/2024 22:16,mixed,https://www.facebook.com/thesugarcaneph/videos/1081363773689494/,0,0,Videos,,,,,Lifetime,5268,3045,322,261,30,31,424,424,,,29551.599,6.502,0.04,
1125704602249880.00,100044310645639.00,SUGARCANE,lactose into-you pa naman ako 😡,"lactose into-you pa naman ako 😡

Stream Lagi Na Lang! sugarcane.lnk.to/laginalang",18,11/10/2024 21:04,uploaded,https://www.facebook.com/thesugarcaneph/videos/466766872558024/,0,0,Videos,,,,,Lifetime,6368,5766,216,204,2,10,105,104,,1,37705.754,6.703,0.07,
1125134635640210.00,100044310645639.00,SUGARCANE,"Pano kung may OPM song na inspired ng Fireflies by Owl City

Stream Lagi Na Lang! sugarcane.lnk.to/laginalang","Pano kung may OPM song na inspired ng Fireflies by Owl City

Stream Lagi Na Lang! sugarcane.lnk.to/laginalang",69,11/10/2024 2:14,uploaded,https://www.facebook.com/reel/1704410897071187/,1,0,Reels,,,,,Lifetime,33079,27472,1124,1016,21,87,0,,,,473242.095,15.852,0,
1125031355650540.00,100044310645639.00,SUGARCANE,"Huhu bye guys see you ulit next year 😞

Stream our new song Lagi Na Lang 🫢:
sugarcane.link.to/laginalang","Huhu bye guys see you ulit next year 😞

Stream our new song Lagi Na Lang 🫢:
sugarcane.link.to/laginalang",8,11/9/2024 22:44,N/A,https://www.facebook.com/reel/596704789688721/,1,0,Reels,,,,,Lifetime,82743,51485,1072,996,26,50,0,,,,377558.724,7.322,0,
1124290322391310.00,100044310645639.00,SUGARCANE,"Suko na po ako boss

Stream the song here: sugarcane.lnk.to/laginalang","Suko na po ako boss

Stream the song here: sugarcane.lnk.to/laginalang",19,11/8/2024 22:12,N/A,https://www.facebook.com/reel/956836469595230/,1,0,Reels,,,,,Lifetime,79403,74047,3759,3213,73,473,0,,,,523948.369,7.236,0,
